80.119.195.142,1.20.133.251
97.123.12.135,1.80.194.102
140.86.168.117,1.155.44.120
67.34.17.214,1.108.51.110
53.100.35.103,1.244.10.210
68.164.202.106,1.75.8.145
92.229.187.40,1.169.249.4
235.226.45.21,1.233.192.58
123.126.24.73,1.215.217.137
87.27.178.169,1.95.52.125
107.142.20.61,1.57.3.22
59.209.174.179,1.134.138.144
207.105.182.167,1.109.117.57
221.170.25.98,1.232.73.29
5.128.164.224,1.40.177.226
39.177.112.222,1.53.185.77
13.35.237.156,1.116.86.219
165.154.59.61,1.28.241.155
92.166.132.1,1.238.184.159
93.232.146.31,1.229.84.139
67.22.225.238,1.184.168.147
159.111.167.33,1.200.169.38
156.16.111.163,1.8.91.113
8.46.155.129,1.201.191.159
187.218.255.79,1.94.179.175
113.89.54.64,1.105.220.218
70.166.91.179,1.143.76.76
34.172.209.248,1.107.195.210
175.119.126.171,1.77.214.214
165.210.5.0,1.23.80.207
73.29.187.130,1.41.171.229
245.91.252.140,1.213.58.167
246.188.84.42,1.55.212.235
151.122.225.145,1.21.239.131
202.236.177.38,1.222.119.224
123.2.87.201,1.234.121.151
148.60.98.109,1.86.141.33
103.233.7.241,1.85.63.120
82.170.136.145,1.170.9.215
73.189.95.208,1.13.111.189
74.166.106.188,1.13.110.113
89.251.183.184,1.172.178.27
136.26.196.126,1.65.87.201
47.93.169.99,1.166.106.86
55.136.153.84,1.163.190.138
172.133.96.158,1.235.205.139
22.118.215.136,1.45.206.254
205.53.20.246,1.210.184.242
57.237.69.119,1.70.237.250
117.187.182.107,1.237.232.159
254.29.19.150,1.26.140.252
191.110.124.227,1.156.66.36
254.161.217.46,1.7.243.48
55.173.238.255,1.107.136.176
228.34.109.105,1.75.35.48
97.109.40.167,1.104.69.43
34.255.31.207,1.160.168.22
125.255.216.172,1.190.225.134
178.91.248.231,1.78.144.13
103.246.251.206,1.160.130.11
20.177.47.38,1.232.241.128
185.23.46.171,1.163.113.63
75.52.180.164,1.186.148.51
125.160.21.215,1.181.213.118
54.47.228.185,1.175.78.195
41.102.218.23,1.1.240.221
132.252.89.116,1.141.37.68
155.244.48.180,1.146.113.153
203.86.157.35,1.160.163.197
128.42.86.184,1.44.153.200
95.61.173.253,1.189.228.132
92.48.236.66,1.191.108.52
100.248.77.77,1.90.109.232
202.249.61.38,1.35.139.128
51.8.118.125,1.161.95.205
2.111.181.10,1.75.136.20
126.208.213.113,1.60.76.163
26.249.157.7,1.209.230.102
175.24.235.97,1.154.169.30
141.201.165.242,1.155.91.218
107.134.161.61,1.223.251.71
93.192.180.33,1.68.157.13
191.233.81.223,1.64.83.127
18.163.55.74,1.88.58.144
24.205.253.179,1.21.127.159
25.27.232.23,1.143.240.49
172.90.167.154,1.12.110.185
238.43.75.108,1.180.23.112
28.27.55.82,1.41.234.90
167.33.56.185,1.143.140.101
233.11.5.8,1.168.58.23
232.91.109.164,1.122.38.16
233.244.178.36,1.82.37.96
236.182.107.103,1.182.130.228
196.2.84.204,1.20.6.166
45.71.73.35,1.183.215.248
58.174.22.130,1.116.207.10
93.29.127.197,1.246.208.112
219.121.138.69,1.80.151.195
47.85.31.57,1.170.189.99
84.244.94.125,1.84.138.243
222.155.27.17,1.170.74.165
51.146.116.197,1.14.42.169
65.70.232.182,1.100.74.94
124.153.146.242,1.92.116.237
3.114.142.12,1.236.163.167
110.10.70.92,1.108.126.184
38.94.143.132,1.135.49.183
116.77.148.114,1.109.16.80
141.77.185.238,1.218.119.63
57.128.10.93,1.52.203.169
79.247.224.25,1.46.0.137
53.195.108.76,1.17.9.250
205.180.217.191,1.165.84.125
195.37.91.128,1.120.162.99
53.172.130.5,1.25.95.91
49.103.25.153,1.85.59.146
35.245.118.41,1.225.139.19
135.132.247.143,1.151.145.168
249.201.242.90,1.229.1.225
203.69.28.174,1.249.102.80
90.153.9.229,1.135.213.245
154.60.172.5,1.113.67.250
14.163.3.234,1.102.107.39
43.106.229.247,1.204.45.42
30.231.44.91,1.228.24.152
253.152.75.144,1.213.180.189
86.12.100.47,1.50.94.67
37.115.201.239,1.175.209.131
13.186.137.154,1.28.41.213
120.205.243.184,1.240.14.101
164.220.77.4,1.212.9.200
42.206.151.248,1.205.89.43
83.230.221.124,1.86.250.7
239.253.175.198,1.163.65.87
36.89.250.225,1.99.196.139
0.157.228.144,1.24.52.178
141.184.139.12,1.158.80.227
51.199.249.5,1.207.174.252
184.105.102.254,1.131.163.137
54.114.237.181,1.18.105.30
85.167.94.186,1.220.0.23
251.189.166.101,1.22.66.113
113.132.253.20,1.232.23.37
135.139.103.116,1.104.61.6
25.252.177.112,1.55.245.71
250.110.23.5,1.10.59.19
202.202.239.219,1.206.150.205
18.35.96.191,1.232.252.197
243.135.96.92,1.114.241.29
140.42.117.65,1.73.149.62
213.108.191.171,1.245.27.134
245.223.4.117,1.135.153.92
152.226.227.9,1.14.199.178
127.155.70.95,1.209.138.105
218.23.222.87,1.179.91.246
229.18.97.137,1.181.129.70
171.23.44.164,1.68.253.17
91.164.171.133,1.169.167.30
112.243.168.52,1.87.147.157
67.210.204.45,1.168.127.149
54.81.223.16,1.90.47.23
136.243.203.214,1.37.152.110
126.236.219.105,1.48.64.29
189.241.242.194,1.169.81.247
53.119.68.130,1.189.143.62
99.89.54.188,1.175.190.105
232.103.178.164,1.245.95.207
169.27.142.186,1.238.13.165
167.96.143.180,1.203.5.60
128.195.85.229,1.224.157.212
244.38.54.227,1.239.24.68
174.54.77.114,1.63.146.79
76.133.151.215,1.64.136.30
41.149.163.113,1.178.98.189
45.20.56.21,1.189.58.159
53.246.114.157,1.85.204.63
38.13.97.4,1.101.34.3
121.188.146.96,1.224.125.170
144.6.153.32,1.201.104.73
115.99.172.73,1.75.168.139
192.67.42.218,1.72.205.151
156.122.195.67,1.58.110.161
232.113.63.47,1.142.59.62
25.162.214.81,1.122.50.53
252.123.4.189,1.208.39.152
222.235.221.253,1.247.230.80
22.98.11.215,1.88.131.191
104.185.179.34,1.38.206.122
223.168.90.254,1.114.233.116
219.107.73.81,1.65.250.244
151.7.197.131,1.236.40.23
22.206.15.98,1.101.173.194
12.3.23.1,1.67.136.74
42.28.40.104,1.151.105.37
187.89.219.182,1.193.147.53
64.193.74.91,1.76.49.179
80.240.59.110,1.176.250.210
126.6.220.10,1.36.226.219
67.125.7.107,1.63.44.67
174.37.139.199,1.90.60.125
219.209.95.243,1.140.124.169
160.48.12.121,1.37.75.152
199.17.196.198,1.148.2.80
220.93.234.28,1.237.59.55
190.126.70.107,1.4.109.199
109.158.201.223,1.203.237.35
125.193.71.247,1.250.26.54
178.24.184.137,1.16.253.10
94.113.47.107,1.70.8.49
160.146.16.30,1.110.64.231
107.137.2.232,1.110.249.251
173.174.88.139,1.81.198.102
236.232.214.192,1.135.221.254
79.125.87.6,1.224.98.29
92.165.177.239,1.165.22.224
198.0.237.187,1.114.206.82
111.243.171.163,1.54.215.79
51.242.194.94,1.191.98.54
71.64.105.106,1.200.174.14
196.89.119.158,1.162.216.81
168.131.91.182,1.95.168.18
204.122.216.251,1.130.153.235
249.130.169.136,1.122.113.250
198.232.245.69,1.195.149.101
94.106.104.206,1.53.231.148
193.119.152.247,1.217.101.172
114.72.30.97,1.148.99.243
5.169.62.232,1.201.135.218
243.169.68.229,1.20.148.65
40.207.93.209,1.30.16.189
134.216.197.50,1.89.173.1
137.14.232.142,1.94.0.74
174.213.154.85,1.131.252.63
120.217.198.139,1.162.31.189
75.71.35.131,1.111.216.0
111.148.196.8,1.120.101.144
214.167.148.164,1.67.159.5
77.173.61.245,1.112.239.47
175.90.150.172,1.153.246.100
129.235.225.109,1.216.91.121
27.16.161.133,1.61.11.226
14.51.182.51,1.132.1.170
97.71.145.20,1.216.42.116
194.150.59.72,1.11.157.212
160.39.45.141,1.78.74.166
181.13.3.48,1.7.133.50
201.219.159.190,1.164.145.120
134.154.242.59,1.225.77.229
142.34.204.92,1.76.109.116
173.217.233.18,1.95.141.141
93.96.123.93,1.119.21.172
86.148.69.195,1.24.56.51
208.169.210.121,1.59.32.195
215.254.83.2,1.19.86.164
96.126.168.164,1.158.232.111
185.173.173.233,1.169.85.189
94.14.229.233,1.118.235.4
112.247.1.15,1.176.232.98
210.98.66.77,1.214.184.252
131.171.41.26,1.34.185.4
210.252.120.86,1.122.28.210
175.219.242.154,1.197.99.161
84.219.135.144,1.66.114.179
48.24.11.184,1.139.119.249
181.180.165.239,1.66.182.246
30.15.185.229,1.13.76.82
177.32.51.0,1.200.40.239
65.130.133.225,1.45.7.229
116.191.18.22,1.72.145.150
58.46.203.13,1.176.81.230
131.98.185.186,1.90.185.71
88.130.165.124,1.125.118.20
22.102.10.255,1.63.249.134
220.216.230.97,1.179.197.255
90.0.76.163,1.169.126.37
140.221.65.245,1.117.204.21
39.17.33.240,1.119.81.161
82.45.197.91,1.86.115.135
174.187.60.109,1.243.165.112
251.95.194.78,1.17.12.30
205.121.37.2,1.174.99.141
236.168.96.100,1.215.244.215
93.54.180.12,1.201.224.37
216.23.192.185,1.105.95.43
135.16.138.254,1.47.90.94
46.162.72.22,1.173.217.211
38.4.126.51,1.82.39.221
15.165.17.120,1.106.21.190
84.53.202.173,1.101.144.139
222.28.134.25,1.205.110.71
31.71.100.68,1.184.62.12
72.142.48.234,1.57.69.5
227.14.240.53,1.51.52.225
155.106.176.55,1.245.204.135
117.238.107.203,1.157.237.71
96.186.175.168,1.228.0.200
204.7.232.212,1.17.196.16
215.69.10.6,1.106.170.197
196.192.214.59,1.190.74.26
147.120.12.88,1.125.105.235
228.40.100.45,1.86.150.157
104.3.142.158,1.170.170.161
133.178.102.6,1.93.132.85
214.101.201.224,1.102.58.176
183.62.190.253,1.162.233.86
231.143.207.179,1.73.11.14
37.216.178.156,1.66.220.234
149.159.220.65,1.172.56.200
44.188.241.191,1.14.136.112
140.168.80.205,1.137.237.120
103.236.124.243,1.238.211.97
147.230.244.77,1.254.193.122
26.233.38.17,1.251.169.59
1.37.218.112,1.70.124.67
45.48.209.173,1.185.136.86
33.150.195.98,1.209.201.62
93.22.88.225,1.135.107.43
77.5.128.226,1.219.10.196
151.47.224.72,1.76.62.19
106.117.36.92,1.145.101.190
101.100.126.9,1.129.28.214
37.37.165.82,1.111.224.7
223.151.166.174,1.91.189.232
92.58.201.58,1.149.121.244
151.226.126.98,1.187.125.11
2.117.83.10,1.112.166.82
180.179.47.245,1.93.190.200
37.17.93.26,1.4.138.222
234.70.214.86,1.164.4.228
210.153.177.37,1.240.150.155
101.57.99.225,1.233.66.218
63.64.130.203,1.151.24.212
244.184.142.208,1.38.147.79
45.19.88.75,1.105.137.134
237.189.112.6,1.90.4.210
101.127.224.184,1.119.70.85
147.128.137.244,1.223.85.137
104.144.61.204,1.31.71.149
176.236.170.188,1.201.163.175
137.241.13.129,1.251.124.60
185.29.40.142,1.10.182.6
59.93.54.109,1.96.123.147
152.80.231.100,1.154.166.201
53.26.85.99,1.210.73.253
83.50.163.157,1.102.145.6
51.52.208.192,1.129.3.86
95.195.61.179,1.122.144.135
63.62.98.70,1.235.172.240
83.69.0.216,1.245.171.207
15.216.186.10,1.133.16.240
235.105.57.158,1.66.205.72
28.198.190.237,1.44.218.13
249.177.232.88,1.73.93.134
119.91.172.31,1.72.128.169
184.13.37.162,1.118.69.181
175.28.42.126,1.204.3.205
186.140.154.107,1.40.242.118
182.159.73.126,1.58.22.146
187.22.35.96,1.220.29.109
182.40.57.161,1.113.137.254
88.12.251.117,1.240.149.235
90.245.105.204,1.90.85.2
129.130.143.104,1.232.163.70
120.32.176.231,1.183.200.34
63.117.247.100,1.173.28.77
72.220.130.224,1.113.76.180
182.133.154.203,1.199.204.211
218.224.180.117,1.185.251.251
8.126.16.181,1.56.87.99
193.193.131.173,1.99.171.126
253.167.116.148,1.197.16.96
240.207.107.43,1.28.66.127
74.253.45.16,1.144.67.239
173.77.228.66,1.165.130.197
129.42.109.12,1.193.63.139
137.174.158.203,1.198.211.7
11.67.149.129,1.220.15.41
163.91.62.165,1.124.48.246
195.45.229.89,1.227.82.37
94.229.104.52,1.70.130.83
47.14.135.78,1.124.137.126
253.228.53.147,1.160.54.112
69.217.225.65,1.12.125.93
149.113.81.13,1.209.218.58
177.193.154.20,1.227.117.161
75.80.70.82,1.192.60.36
240.160.245.2,1.189.103.243
189.73.169.51,1.162.183.44
160.255.29.36,1.42.43.218
255.196.100.249,1.18.50.133
186.100.50.115,1.157.64.55
250.179.123.155,1.67.48.46
101.122.100.97,1.130.174.161
96.250.22.72,1.159.0.176
217.60.77.229,1.109.217.130
44.21.100.118,1.102.109.66
66.109.67.112,1.127.91.238
177.42.118.123,1.179.123.207
185.4.112.17,1.28.152.54
38.194.219.180,1.154.161.173
184.119.37.51,1.87.63.26
59.152.52.24,1.123.164.225
160.56.47.157,1.47.245.58
125.207.134.118,1.71.200.53
59.207.126.24,1.220.82.20
43.67.183.194,1.49.239.40
26.76.246.162,1.185.18.111
255.55.185.93,1.142.95.242
217.210.40.176,1.215.246.248
134.23.1.1,1.6.248.85
182.87.220.122,1.242.179.113
121.14.87.141,1.179.140.152
66.145.64.198,1.201.2.82
32.183.82.30,1.245.233.238
234.175.162.72,1.164.205.214
108.42.192.33,1.209.25.196
141.36.205.236,1.110.28.103
140.72.4.21,1.176.56.79
139.58.201.97,1.158.81.53
253.53.205.85,1.26.123.94
179.78.45.93,1.32.168.105
227.234.220.157,1.220.65.154
224.156.160.239,1.245.47.85
229.91.186.21,1.215.65.65
208.131.230.63,1.31.224.251
84.142.110.22,1.167.167.145
79.175.66.90,1.254.48.177
179.198.179.173,1.249.84.253
239.145.148.168,1.29.151.199
35.220.197.121,1.46.125.234
233.7.180.185,1.22.12.236
107.161.50.3,1.136.177.108
110.107.229.168,1.149.2.118
72.85.139.134,1.203.190.60
74.106.4.208,1.2.28.161
19.204.54.108,1.58.225.112
120.62.101.171,1.107.103.188
180.14.213.45,1.242.218.220
120.194.155.219,1.101.58.241
146.211.174.2,1.149.242.209
46.122.141.222,1.77.230.84
148.129.78.222,1.192.158.28
190.107.19.53,1.92.251.77
61.75.69.64,1.14.66.60
79.5.230.18,1.29.27.58
126.77.146.59,1.173.191.152
62.158.92.19,1.3.233.55
15.222.118.93,1.85.178.100
52.117.134.91,1.10.226.154
12.180.151.106,1.154.187.212
2.176.7.27,1.167.63.212
197.214.171.76,1.202.83.224
64.104.48.228,1.253.226.224
133.159.149.51,1.203.146.40
151.114.108.206,1.155.249.112
193.21.65.40,1.185.191.49
24.178.98.215,1.165.1.26
75.199.109.143,1.13.141.214
39.171.17.250,1.26.115.33
49.146.235.195,1.69.50.70
29.60.70.227,1.109.152.157
148.57.231.220,1.57.21.84
177.57.58.104,1.24.185.222
50.66.10.12,1.185.222.218
65.7.119.75,1.133.121.247
221.177.205.251,1.165.120.199
236.21.211.166,1.200.141.233
97.61.210.24,1.44.192.223
196.17.203.178,1.121.90.72
54.135.135.23,1.26.89.133
119.252.19.136,1.173.252.46
206.71.107.115,1.75.144.166
23.91.199.120,1.3.252.118
70.79.104.229,1.157.160.158
40.218.205.253,1.239.156.149
10.142.239.170,1.35.130.34
118.181.11.24,1.220.98.205
30.136.187.107,1.91.27.76
186.134.17.62,1.31.234.216
115.77.196.141,1.235.217.189
21.153.184.156,1.63.175.165
107.119.151.207,1.91.158.204
54.181.34.178,1.104.191.73
247.68.117.96,1.189.166.238
38.97.100.186,1.50.35.149
195.180.217.242,1.199.25.116
93.240.45.56,1.127.0.7
71.100.155.181,1.117.101.240
3.149.130.154,1.136.60.239
176.235.98.15,1.140.23.133
24.65.229.21,1.158.85.188
150.2.239.155,1.231.90.133
79.3.64.213,1.250.138.235
201.83.46.203,1.228.77.176
223.168.105.139,1.43.72.231
134.91.217.117,1.120.97.103
45.213.79.206,1.130.169.169
59.78.72.244,1.174.211.180
75.164.41.104,1.46.185.122
105.142.218.47,1.197.3.230
83.61.36.42,1.37.208.63
175.136.64.20,1.25.82.33
70.152.234.197,1.138.55.66
200.172.137.221,1.241.233.123
113.52.234.111,1.197.55.195
61.14.107.172,1.92.70.86
140.2.197.208,1.80.18.49
37.231.53.172,1.133.167.88
248.218.243.226,1.242.212.73
68.165.211.73,1.133.181.138
237.193.224.72,1.188.140.31
254.28.44.104,1.187.78.248
69.145.18.216,1.59.5.248
90.169.74.142,1.149.155.106
212.17.201.234,1.150.230.9
16.96.174.38,1.211.255.121
202.80.168.143,1.105.245.46
248.133.221.237,1.194.251.47
218.55.78.185,1.4.151.143
188.210.96.121,1.81.95.150
12.206.68.8,1.12.197.5
143.64.88.5,1.224.238.233
31.158.23.98,1.75.49.202
24.99.26.165,1.210.70.145
74.221.167.106,1.54.105.236
188.121.236.164,1.174.177.144
1.96.183.165,1.22.25.17
166.109.217.217,1.171.86.41
85.242.39.192,1.84.113.126
26.47.225.135,1.253.173.2
142.147.228.50,1.111.176.185
233.43.85.252,1.210.205.198
242.6.125.253,1.89.207.108
108.208.221.102,1.55.200.111
92.116.62.216,1.66.253.28
189.7.4.150,1.235.181.236
113.4.237.177,1.120.19.166
115.250.25.53,1.11.41.165
214.33.72.58,1.191.66.248
24.193.211.166,1.185.208.206
211.236.175.153,1.196.143.243
216.20.135.192,1.249.90.94
87.192.72.60,1.178.192.54
98.174.151.118,1.216.104.204
7.101.116.205,1.216.138.84
249.204.210.183,1.10.12.78
114.55.99.218,1.239.175.107
188.160.6.46,1.43.144.254
94.45.255.167,1.79.102.42
117.23.70.17,1.245.195.195
221.28.75.27,1.254.64.201
80.56.5.234,1.236.136.114
9.181.55.42,1.23.92.188
37.28.69.92,1.207.202.164
54.99.220.66,1.111.223.2
231.0.1.161,1.87.145.146
136.187.53.24,1.54.153.182
91.197.4.56,1.36.218.146
126.88.8.40,1.117.55.41
240.49.16.72,1.96.174.152
117.145.155.245,1.106.165.39
4.106.33.233,1.113.124.49
33.155.143.219,1.3.234.23
72.151.169.105,1.114.96.6
30.14.32.100,1.201.234.163
25.31.79.112,1.243.165.242
184.13.65.239,1.131.60.42
14.96.147.147,1.162.119.150
135.121.56.132,1.225.28.20
57.28.140.144,1.157.128.135
41.168.44.93,1.61.244.46
11.136.157.34,1.247.141.1
235.249.229.140,1.242.180.160
146.134.206.68,1.205.194.75
52.119.8.145,1.40.204.63
186.182.47.52,1.175.153.230
59.248.83.212,1.148.238.202
81.168.145.94,1.61.191.211
175.166.152.221,1.39.93.149
253.231.223.117,1.138.218.230
235.159.40.161,1.181.73.172
159.215.66.96,1.233.248.82
159.169.237.85,1.147.94.120
44.18.23.134,1.97.56.93
94.228.89.239,1.98.3.113
52.20.189.245,1.48.38.54
188.30.198.21,1.187.28.34
167.99.47.206,1.206.144.95
89.216.231.23,1.67.222.247
110.1.59.139,1.116.199.64
200.73.10.21,1.227.114.122
57.178.3.206,1.221.220.50
211.128.48.163,1.178.192.106
85.125.235.54,1.66.100.195
193.171.61.6,1.12.161.124
129.252.72.146,1.129.9.99
59.95.247.144,1.86.107.237
139.88.97.105,1.2.160.44
157.103.197.54,1.40.222.124
139.233.219.217,1.164.35.147
184.195.115.249,1.117.62.195
3.236.154.78,1.87.18.171
220.255.0.210,1.208.180.28
148.228.218.154,1.20.186.18
0.69.117.78,1.36.49.42
82.48.163.76,1.210.184.75
228.214.8.147,1.247.38.33
221.85.113.140,1.49.118.75
201.75.15.141,1.21.157.66
129.254.102.46,1.96.109.207
81.56.201.142,1.165.120.137
28.116.176.119,1.176.64.170
80.31.228.69,1.208.189.68
77.49.237.119,1.0.16.176
241.127.123.213,1.192.40.247
161.242.143.7,1.188.118.202
80.103.207.5,1.150.248.196
33.185.19.142,1.252.232.215
48.242.20.189,1.13.141.71
156.158.238.87,1.52.199.71
203.85.51.16,1.226.4.222
